MCID;SvcDate;SvcTime;Mileage;Category;Notes
"REE60A";2014-12-18;1.00;;CtrVol;""
"RIV20";2014-12-18;7.00;;CtrVol;""
"STO86";2014-12-18;4.00;;OfficeAdmin;""
"PEA97";2014-12-18;1.50;70;Transporter;""
"YOS41";2014-12-18;1.50;70;Transporter;""
"CLU76";2014-12-18;1.50;70;Transporter;""
"CAM53";2014-12-20;10.00;;Supervisor;""
"CAM53";2014-12-20;3.00;;CtrVol;""
"PLE17";2014-12-20;5.00;;CtrVol;""
"AAS47";2014-12-20;6.50;;OfficeAdmin;""
"SCH18";2014-12-20;10.00;;CtrVol;""
"PEA97";2014-12-20;1.50;70;Transporter;""
"HOL14";2014-12-20;1.00;24;Transporter;""
"DUN13";2014-12-21;10.00;;Supervisor;""
"WRI15";2014-12-21;5.00;;CtrVol;""
"MEY56";2014-12-21;4.00;;CtrVol;""
"PAR73";2014-12-21;4.00;;CtrVol;""
"GRA10";2014-12-21;5.00;;CtrVol;""
"THA32";2014-12-21;8.00;;CtrVol;""
"BAK56";2014-12-21;8.00;;CtrVol;""
"GRE11";2014-12-21;3.00;;CtrVol;""
"GRI72";2014-12-21;3.00;;CtrVol;""
"NIC76";2014-12-21;3.00;;CtrVol;""
"WOL37";2014-12-21;4.50;;CtrVol;""
