MCID;SvcDate;SvcTime;Mileage;Category;Notes
"LOW16";2014-02-11;4.00;0;CtrVol;""
"LOW16A";2014-02-11;4.00;0;CtrVol;""
"Fla24";2014-02-11;2.00;0;CtrVol;""
"HEN26";2014-02-11;4.00;0;CtrVol;""
"COR77";2014-02-11;4.00;0;OfficeAdmin;""
"MED55";2014-02-11;1.50;0;CtrVol;""
"LAR33";2014-02-11;3.50;0;CtrVol;""
"HAR21A";2014-02-11;4.00;0;CtrVol;""
"Kun58";2014-02-11;5.00;0;Committee;""
"CAM53";2014-02-11;2.00;0;CtrVol;""
"Cro13";2014-02-11;7.00;0;Committee;""
"DIL82";2014-02-11;6.00;0;Committee;""
"DUN13";2014-02-11;3.00;0;Committee;""
"Sto86";2014-02-11;4.50;0;Committee;""
"Bak56";2014-02-11;5.50;0;Committee;""
"PER17";2014-02-11;3.50;0;Committee;""
"DUC17A";2014-02-11;4.50;0;Committee;""
"Wad81";2014-02-11;4.50;0;Committee;""
"ALV34";2014-02-11;2.50;0;Committee;""
"DUN13";2014-02-12;10.50;0;Supervisor;""
"CAI58";2014-02-12;4.50;0;CtrVol;""
"CLA23";2014-02-12;4.00;0;CtrVol;""
"COR77";2014-02-12;6.00;0;OfficeAdmin;""
"Hen85";2014-02-12;3.50;0;CtrVol;""
"FEI11";2014-02-12;4.00;0;CtrVol;""
"FLA56A";2014-02-12;4.00;0;CtrVol;""
"WRI16";2014-02-12;5.00;0;CtrVol;""
"DUM40";2014-02-12;4.00;0;CtrVol;""
"RAD17";2014-02-12;4.00;0;CtrVol;""
"CHE28";2014-02-12;3.50;0;CtrVol;""
"CHE28A";2014-02-12;3.50;0;CtrVol;""
"HUD47";2014-02-12;3.50;0;CtrVol;""
"DIL82";2014-02-12;1.00;0;CtrVol;""
"Cro13";2014-02-12;5.50;0;Committee;""
"Bak56";2014-02-12;1.50;0;Committee;""
"Fla24";2014-02-13;6.00;0;Supervisor;""
"DUM40";2014-02-13;5.00;0;Supervisor;""
"DIL82";2014-02-13;7.00;0;CtrVol;""
"LAR33";2014-02-13;6.00;0;CtrVol;""
"LAM99";2014-02-13;4.00;0;CtrVol;""
"WRI15";2014-02-13;5.00;0;CtrVol;""
"Sut12";2014-02-13;3.00;0;CtrVol;""
"AIE30";2014-02-13;5.00;0;CtrVol;""
"COR77";2014-02-13;4.00;0;OfficeAdmin;""
"FLA56A";2014-02-13;4.00;0;CtrVol;""
"CHR16";2014-02-13;4.00;0;CtrVol;""
"Sco71";2014-02-13;2.00;0;OfficeAdmin;""
"HAM23";2014-02-13;3.50;0;CtrVol;""
"THA32";2014-02-13;3.00;0;CtrVol;""
"CAM53";2014-02-14;10.00;0;Supervisor;""
"DUM40";2014-02-14;5.50;0;CtrVol;""
"WOL15";2014-02-14;4.00;0;CtrVol;""
"DUN13";2014-02-14;2.50;0;CtrVol;""
"ALV34";2014-02-14;3.00;0;CtrVol;""
"Cro13";2014-02-14;3.00;0;Committee;""
"DOR16";2014-02-14;4.00;0;OfficeAdmin;""
"REN13";2014-02-14;4.00;0;CtrVol;""
"MCC15A";2014-02-14;4.00;0;CtrVol;""
"MAX12";2014-02-14;4.00;0;CtrVol;""
"GON27";2014-02-14;3.50;0;CtrVol;""
"BOL35";2014-02-14;3.50;0;CtrVol;""
"CHA33";2014-02-14;3.00;0;CtrVol;""
"CAM53";2014-02-15;11.00;0;Supervisor;""
"PLE17";2014-02-15;4.00;0;CtrVol;""
"HAL49";2014-02-15;3.50;0;CtrVol;""
"DUN13";2014-02-15;2.00;0;CtrVol;""
"Fla24";2014-02-15;2.50;0;CtrVol;""
"GON27";2014-02-15;5.50;0;CtrVol;""
"LAM99";2014-02-15;4.00;0;CtrVol;""
"HOL88";2014-02-15;2.50;0;CtrVol;""
"BOC18";2014-02-15;3.50;0;OfficeAdmin;""
"WRI15";2014-02-15;4.00;0;CtrVol;""
"NEL30A";2014-02-15;3.50;0;CtrVol;""
"ALV34";2014-02-16;11.50;0;Supervisor;""
"DIL82";2014-02-16;8.00;0;CtrVol;""
"MEY56";2014-02-16;4.00;0;CtrVol;""
"OWE55";2014-02-16;4.00;0;CtrVol;""
"GRA10";2014-02-16;4.00;0;OfficeAdmin;""
"Cro13";2014-02-16;4.00;0;CtrVol;""
"Bak56";2014-02-16;12.00;0;CtrVol;""
"THA32";2014-02-16;4.00;0;CtrVol;""
"WOL37";2014-02-16;4.00;0;CtrVol;""
"DUM40";2014-02-06;4.00;;CtrVol;""
"DOR16";2014-02-07;4.00;;OfficeAdmin;""
"DUM40";2014-02-18;4.00;;CtrVol;""
"FLA24";2014-02-20;5.00;;Supervisor;""
"DUM40";2014-02-20;5.00;;Supervisor;""
"BRO53";2014-02-20;4.00;;CtrVol;""
"LAR33";2014-02-20;4.00;;CtrVol;""
"CHR16A";2014-02-20;4.00;;CtrVol;""
"SUT12";2014-02-20;3.00;;CtrVol;""
"COR77";2014-02-20;5.00;;OfficeAdmin;""
"SCO71";2014-02-20;2.00;;OfficeAdmin;""
"FLA56A";2014-02-20;4.00;;CtrVol;""
"DIL82";2014-02-20;1.00;;CtrVol;""
"HAM23";2014-02-20;3.00;;CtrVol;""
"THA32";2014-02-20;3.00;;CtrVol;""
"FLA56B";2014-02-20;0.75;12;Transporter;""
"CAM53";2014-02-21;11.25;;Supervisor;""
"WOL15";2014-02-21;4.00;;CtrVol;""
"DOR16";2014-02-21;4.00;;OfficeAdmin;""
"REN13";2014-02-21;7.00;;CtrVol;""
"MCC15A";2014-02-21;4.50;;CtrVol;""
"DUM40";2014-02-21;8.00;;CtrVol;""
"BOL35";2014-02-21;3.50;;CtrVol;""
"GON27";2014-02-21;3.00;;CtrVol;""
"CHA33";2014-02-21;3.00;;CtrVol;""
"VEN15";2014-02-21;13.00;;Committee;""
"BOC18";2014-02-22;4.00;;OfficeAdmin;""
"DAL53";2014-02-22;3.50;;CtrVol;""
"RAD17";2014-02-22;3.50;;CtrVol;""
"PIN75";2014-02-22;3.00;;CtrVol;""
"DUM40";2014-02-23;10.00;;Supervisor;""
"DIL82";2014-02-23;8.00;;CtrVol;""
"MAX12";2014-02-23;4.00;;CtrVol;""
"DOW10";2014-02-23;4.00;;CtrVol;""
"KOC11";2014-02-23;4.00;;CtrVol;""
"GRA10";2014-02-23;4.00;;OfficeAdmin;""
"THA32";2014-02-23;4.00;;CtrVol;""
"TOD12";2014-02-23;4.00;;CtrVol;""
"OWE55";2014-02-23;3.50;;CtrVol;""
"WOL37";2014-02-23;2.50;;CtrVol;""
"PER17";2014-02-23;2.50;;Committee;""
"ALV34";2014-02-24;11.50;;Supervisor;""
"DIL82";2014-02-24;8.00;;CtrVol;""
"LAM99";2014-02-24;4.00;;CtrVol;""
"CHR16A";2014-02-24;4.00;;CtrVol;""
